epoch;accuracy;ebops;loss;val_accuracy;val_loss
0;0.253944456577301;18307176;20.485315322875977;0.5720000267028809;1.8084633350372314
1;0.5480555295944214;16786664;19.54299545288086;0.7651666402816772;0.8523005247116089
2;0.7045740485191345;16786664;17.70061492919922;0.8575000166893005;0.5550264716148376
3;0.7707962989807129;16786664;17.501855850219727;0.8836666941642761;0.42735081911087036
4;0.8119259476661682;16786664;17.38454246520996;0.9141666889190674;0.3414866626262665
5;0.8508333563804626;15282152;16.63030433654785;0.9240000247955322;0.2897176742553711
6;0.8675185441970825;15282152;15.721600532531738;0.9338333606719971;0.2606236934661865
7;0.8805555701255798;15282152;15.683599472045898;0.9388333559036255;0.24593092501163483
8;0.885796308517456;15282152;15.667611122131348;0.9321666955947876;0.25952112674713135
9;0.8953889012336731;13777640;14.497748374938965;0.9393333196640015;0.22869817912578583
10;0.9011852145195007;13777640;14.118408203125;0.9474999904632568;0.20372556149959564
11;0.9096666574478149;13777640;14.093812942504883;0.9518333077430725;0.1993367075920105
12;0.9085370302200317;13777640;14.092107772827148;0.9461666941642761;0.20880936086177826
13;0.9138888716697693;13777640;14.078255653381348;0.9480000138282776;0.1991308182477951
14;0.9180185198783875;13777640;14.066413879394531;0.9545000195503235;0.18290622532367706
15;0.920203685760498;13777640;14.057758331298828;0.9548333287239075;0.18180552124977112
16;0.9223333597183228;13777640;14.052844047546387;0.9578333497047424;0.17339429259300232
17;0.9267407655715942;14892776;14.098323822021484;0.956333339214325;0.18026888370513916
18;0.9289259314537048;13369128;14.455646514892578;0.9514999985694885;0.18266373872756958
19;0.9305370450019836;13369128;13.616509437561035;0.9605000019073486;0.1648779660463333
20;0.639296293258667;10567768;12.198697090148926;0.8308333158493042;0.5701563358306885
21;0.7475740909576416;10096536;10.969666481018066;0.8981666564941406;0.44875088334083557
22;0.7770925760269165;10096536;10.942218780517578;0.8834999799728394;0.5101610422134399
23;0.836814820766449;10096536;10.641290664672852;0.9308333396911621;0.29029223322868347
24;0.8702222108840942;10080536;10.540412902832031;0.9369999766349792;0.2505507469177246
25;0.8843148350715637;10079752;10.484126091003418;0.9388333559036255;0.26256346702575684
26;0.8832963109016418;10078968;10.487251281738281;0.940833330154419;0.25835147500038147
27;0.8880555629730225;10078184;10.473870277404785;0.9403333067893982;0.2368062138557434
28;0.8880000114440918;10078184;10.46529483795166;0.9488333463668823;0.2143930196762085
29;0.89598149061203;10077400;10.444511413574219;0.9476666450500488;0.2213645875453949
30;0.8970000147819519;10076616;10.44396686553955;0.9428333044052124;0.2290726900100708
31;0.8952962756156921;10092616;10.457764625549316;0.9443333148956299;0.23175650835037231
32;0.9004444479942322;10091494;10.446124076843262;0.953000009059906;0.20726709067821503
33;0.9015740752220154;10090710;10.44428825378418;0.949833333492279;0.20912931859493256
34;0.9011852145195007;10090710;10.442329406738281;0.9518333077430725;0.20054268836975098
35;0.8985185027122498;10090710;10.444178581237793;0.9366666674613953;0.23520459234714508
