epoch;accuracy;ebops;loss;val_accuracy;val_loss
0;0.48093223571777344;204820;1.4833369255065918;0.5625602602958679;1.1196073293685913
1;0.5892695784568787;204820;1.2632654905319214;0.6290963888168335;1.0082359313964844
2;0.6481204628944397;205460;1.159934639930725;0.6703975796699524;0.9113375544548035
3;0.6781867742538452;209556;1.1094471216201782;0.6818855404853821;0.8971747756004333
4;0.7000768184661865;209556;1.0763719081878662;0.7114216685295105;0.8429957628250122
5;0.7112334370613098;190030;1.026145339012146;0.7005361318588257;0.8404260873794556
6;0.7198765277862549;189253;1.0032070875167847;0.7132168412208557;0.8153796792030334
7;0.7179683446884155;188586;1.00489342212677;0.7202469706535339;0.8098497986793518
8;0.7155511975288391;188205;1.002134919166565;0.724777102470398;0.7859264612197876
9;0.719885528087616;187689;0.9856310486793518;0.7195301055908203;0.7982228994369507
10;0.7277620434761047;187349;0.9672861695289612;0.7180843353271484;0.8038752675056458
11;0.7242966890335083;186963;0.972743570804596;0.7302349209785461;0.7727176547050476
12;0.7293162941932678;186483;0.9615168571472168;0.726668655872345;0.7798272967338562
13;0.727188229560852;186116;0.9625904560089111;0.7303795218467712;0.771510899066925
14;0.7324337363243103;185799;0.9520312547683716;0.7273795008659363;0.7717085480690002
15;0.7325029969215393;168459;0.9337872862815857;0.7318735122680664;0.7572767734527588
16;0.7345768213272095;167731;0.9224256277084351;0.7346084117889404;0.7494279742240906
17;0.7355873584747314;174943;0.9229167699813843;0.732608437538147;0.759367048740387
18;0.737114429473877;174436;0.9258371591567993;0.7364096641540527;0.7499692440032959
19;0.7382394671440125;173900;0.9181014895439148;0.7394879460334778;0.7374889254570007
20;0.7385030388832092;173481;0.9157629609107971;0.7328433990478516;0.7526934742927551
21;0.7404744029045105;172920;0.9125476479530334;0.7399699091911316;0.7379037141799927
22;0.7421205043792725;172307;0.9068750739097595;0.7337831258773804;0.7568204998970032
23;0.7417605519294739;171901;0.9066939949989319;0.7425180673599243;0.7275102138519287
24;0.7393689751625061;171462;0.9121880531311035;0.7385361194610596;0.7465673089027405
25;0.742112934589386;155092;0.8987581729888916;0.7416867613792419;0.7328665852546692
26;0.7388855218887329;154215;0.8968120217323303;0.7406746745109558;0.7334575057029724
27;0.7414984703063965;153544;0.8908617496490479;0.7433072328567505;0.7330248951911926
28;0.7441310286521912;152768;0.8790244460105896;0.7458735108375549;0.7236080765724182
29;0.7427244186401367;152287;0.8827356100082397;0.7411325573921204;0.7270220518112183
30;0.7440723180770874;151708;0.8787383437156677;0.7400000095367432;0.7329984307289124
31;0.7461491227149963;151179;0.8707327842712402;0.7457951903343201;0.7234036922454834
32;0.7438162565231323;150621;0.8786867260932922;0.7385963797569275;0.7592304348945618
33;0.743796706199646;150084;0.8812203407287598;0.7387710809707642;0.747808575630188
34;0.7426325082778931;149595;0.881570041179657;0.7457108497619629;0.7190671563148499
35;0.7465301156044006;149056;0.8678479194641113;0.7453011870384216;0.7167936563491821
36;0.7492756247520447;140882;0.8535235524177551;0.7473012208938599;0.7152274250984192
37;0.7486234903335571;140233;0.8522784113883972;0.7425963878631592;0.7290223836898804
38;0.7470797896385193;135418;0.8550944924354553;0.7446506023406982;0.7226456999778748
39;0.745688259601593;134853;0.8590478301048279;0.7363795042037964;0.7511378526687622
40;0.7458990812301636;134237;0.8573222160339355;0.7453373670578003;0.7211069464683533
41;0.7480120658874512;137980;0.8476051688194275;0.7469819188117981;0.7121860384941101
42;0.7478885650634766;137430;0.8472483158111572;0.7455361485481262;0.7150766253471375
43;0.7457228899002075;132959;0.853899359703064;0.7424819469451904;0.7272946238517761
44;0.7475888729095459;132588;0.8452760577201843;0.7440481781959534;0.7187173366546631
45;0.748646080493927;132117;0.8427678942680359;0.74790358543396;0.7099778056144714
46;0.7508554458618164;135795;0.8358764052391052;0.7465723156929016;0.7100939154624939
47;0.7476370334625244;123757;0.842720091342926;0.7457711100578308;0.7143399119377136
48;0.7487168908119202;120304;0.8306974768638611;0.739048182964325;0.7304198145866394
49;0.7477560043334961;124089;0.8343598246574402;0.7499698996543884;0.701595664024353
50;0.7503915429115295;123604;0.8259038925170898;0.7491084337234497;0.7060247659683228
51;0.7490903735160828;123303;0.8298584222793579;0.7458493709564209;0.7168264985084534
52;0.7490045428276062;118873;0.8297324776649475;0.7434698939323425;0.7216557264328003
53;0.7497214078903198;118659;0.8240474462509155;0.7453795075416565;0.7127413749694824
54;0.7490828037261963;118344;0.8265112042427063;0.7498975992202759;0.7036854028701782
55;0.7481536269187927;118269;0.8311603665351868;0.7484759092330933;0.709342360496521
56;0.750305712223053;121979;0.8242501616477966;0.7478373646736145;0.7075275182723999
57;0.7481174468994141;117565;0.8294662833213806;0.7457771301269531;0.7148788571357727
58;0.7463734745979309;117239;0.8342377543449402;0.7474096417427063;0.7090805172920227
59;0.7506325244903564;121077;0.8228598237037659;0.7506686449050903;0.7002692222595215
60;0.7514819502830505;116820;0.818018913269043;0.7484458088874817;0.7055774927139282
